parentGroupCode,materialCode,parentGroupName,materialName,Alias,DESCRIPTION,UNITS,GST,BASE_PRICE
MG_CS0001,ML_MGCS1_010,Cementitious Material,Ground Quartz,Alias,DESCRIPTION,BAGS,18,0
MG_CS0001,ML_MGCS1_007,Cement,White cement (loose),Alias,DESCRIPTION,BAGS,18,0
MG_CS0001,ML_MGCS1_009,Cementitious Material,Fly Ash,Alias,DESCRIPTION,BAGS,18,0
MG_CS0001,ML_MGCS1_003,Cement,Pozolona Portland cement,Alias,DESCRIPTION,BAGS,18,0
MG_CS0001,ML_MGCS1_004,Cement,White cement,Alias,DESCRIPTION,BAGS,18,0
MG_CS0001,ML_MGCS1_005,Cement,Grey cement,Alias,DESCRIPTION,BAGS,18,0
MG_CS0001,ML_MGCS1_001,Cement,Ordinary Portland cement grade 43,Alias,DESCRIPTION,BAGS,18,0
MG_CS0001,ML_MGCS1_002,Cement,Ordinary Portland cement grade 53,Alias,DESCRIPTION,BAGS,18,0
MG_CS0001,ML_MGCS1_006,Cement,Acid Proof Cement,Alias,DESCRIPTION,BAGS,18,0
MG_CS0001,ML_MGCS1_008,Cement,Fire Resistant mortar,Alias,DESCRIPTION,BAGS,18,0
MG_CS0002,ML_MGCS2_002,Sand,Fine sand,Alias,DESCRIPTION,BAGS,18,0
MG_CS0002,ML_MGCS2_004,Sand,Stone dust,Alias,DESCRIPTION,BAGS,18,0
MG_CS0002,ML_MGCS2_001,Sand,Coarse sand,Alias,DESCRIPTION,BAGS,18,0
MG_CS0002,ML_MGCS2_003,Sand,Marble dust,Alias,DESCRIPTION,BAGS,18,0
MG_CS0002,ML_MGCS2_005,High Performance Concrete- Material,Silica Sand,Alias,DESCRIPTION,BAGS,18,0
MG_CS0002,ML_MGCS2_006,Sand,RedBajri,Alias,DESCRIPTION,BAGS,18,0
MG_CS0002,ML_MGCS2_007,Sand,Moorum,Alias,DESCRIPTION,BAGS,18,0
MG_CS0003,ML_MGCS3_009,stone aggregate,Aggregates 63 mm Nominal,Alias,DESCRIPTION,BAGS,18,0
MG_CS0003,ML_MGCS3_007,stone aggregate,Stone chipping/screening 10mm nominal size,Alias,DESCRIPTION,BAGS,18,0
MG_CS0003,ML_MGCS3_017,Stone aggregate,Stone chippings/ screenings 12.5/13.2 mm nominal size,Alias,DESCRIPTION,BAGS,18,0
MG_CS0003,ML_MGCS3_014,Stone aggregate,Aggregates 25 mm Nominal,Alias,DESCRIPTION,BAGS,18,0
MG_CS0003,ML_MGCS3_002,stone aggregate,Aggregates (20-40mm) nominal,Alias,DESCRIPTION,BAGS,18,0
MG_CS0003,ML_MGCS3_004,stone aggregate,Stone grit 6 mm and down size,Alias,DESCRIPTION,BAGS,18,0
MG_CS0003,ML_MGCS3_006,Light Weight Concrete- Aggregate,Aggregates - CLC,Alias,DESCRIPTION,BAGS,18,0
MG_CS0003,ML_MGCS3_001,stone aggregate,Aggregates (10-20mm) nominal,Alias,DESCRIPTION,BAGS,18,0
MG_CS0003,ML_MGCS3_003,stone aggregate,Stone Aggregate (Single size) : 10 mm nominal size,Alias,DESCRIPTION,BAGS,18,0
MG_CS0003,ML_MGCS3_005,stone aggregate,Stone Aggregate (Single size) : 12.5 mm nominal size,Alias,DESCRIPTION,BAGS,18,0
MG_CS0003,ML_MGCS3_011,stone aggregate,Aggregates 40 mm Nominal,Alias,DESCRIPTION,BAGS,18,0
MG_CS0003,ML_MGCS3_012,Stone aggregate,Stone chippings/ screenings 4.75 mm nominal size,Alias,DESCRIPTION,BAGS,18,0
MG_CS0003,ML_MGCS3_013,Stone aggregate,Stone chippings/ screenings 150 micron nominal size,Alias,DESCRIPTION,BAGS,18,0
MG_CS0003,ML_MGCS3_008,stone aggregate,Aggregates 80 mm Nominal,Alias,DESCRIPTION,BAGS,18,0
MG_CS0003,ML_MGCS3_018,Stone aggregate,Stone chippings/ screenings 10/11.2 mm nominal size,Alias,DESCRIPTION,BAGS,18,0
MG_CS0003,ML_MGCS3_010,stone aggregate,Aggregates 50 mm Nominal,Alias,DESCRIPTION,BAGS,18,0
MG_CS0003,ML_MGCS3_015,Stone aggregate,Aggregates 20 mm Nominal,Alias,DESCRIPTION,BAGS,18,0
MG_CS0003,ML_MGCS3_016,Stone aggregate,Aggregates 6 mm Nominal,Alias,DESCRIPTION,BAGS,18,0
MG_CS0004,ML_MGCS4_001,Plasticizers,Admixture,Alias,DESCRIPTION,BAGS,18,0
MG_CS0004,ML_MGCS4_003,Plasticizers,Chemical Admixture,Alias,DESCRIPTION,BAGS,18,0
MG_CS0004,ML_MGCS4_005,Super Pozzolona,Super Pozzolona,Alias,DESCRIPTION,BAGS,18,0
MG_CS0004,ML_MGCS4_002,Plasticizers,Air Entrained Admixture,Alias,DESCRIPTION,BAGS,18,0
MG_CS0004,ML_MGCS4_004,Super Plasticizer,Super Plasticizer,Alias,DESCRIPTION,BAGS,18,0
MG_CS0004,ML_MGCS4_006,Air entrained admixture,Foaming agent,Alias,DESCRIPTION,BAGS,18,0
MG_CS0006,ML_MGCS6_001,Bricks,Clay Bricks,Alias,DESCRIPTION,BAGS,18,0
MG_CS0006,ML_MGCS6_002,Bricks,Flyash Bricks,Alias,DESCRIPTION,BAGS,18,0
MG_CS0006,ML_MGCS6_004,Bricks,Common burnt clay F.P.S (non-modular),Alias,DESCRIPTION,BAGS,18,0
MG_CS0006,ML_MGCS6_003,Bricks,Bricks_230x115x75mm (terra cota),Alias,DESCRIPTION,BAGS,18,0
MG_CS0006,ML_MGCS6_005,Bricks,Common burnt clay F.P.S (modular),Alias,DESCRIPTION,BAGS,18,0
MG_CS0010,ML_MGCS10_001,Plywood Formwork,12mm thick ply,Alias,DESCRIPTION,BAGS,18,0
MG_CS0010,ML_MGCS10_002,Plywood Formwork,12mm thick water proof ply,Alias,DESCRIPTION,BAGS,18,0
MG_CS0013,ML_MGCS13_003,Reinforcement Bars,M.S ( Epoxy Coated TMT),Alias,DESCRIPTION,BAGS,18,0
MG_CS0013,ML_MGCS13_004,Reinforcement Bars,M.S ( Galvanized TMT),Alias,DESCRIPTION,BAGS,18,0
MG_CS0013,ML_MGCS13_006,Reinforcement Bars,Reinforcement Bars M.S ( TMT) round bars -Fe 415 D,Alias,DESCRIPTION,BAGS,18,0
MG_CS0013,ML_MGCS13_001,Reinforcement Bars,M.S ( TMT) round bars,Alias,DESCRIPTION,BAGS,18,0
MG_CS0013,ML_MGCS13_002,Reinforcement Bars,M.S ( Plain) round bars,Alias,DESCRIPTION,BAGS,18,0
MG_CS0013,ML_MGCS13_005,Reinforcement Bars,Reinforcement Bars M.S ( TMT) round bars -Fe 415,Alias,DESCRIPTION,BAGS,18,0
MG_CS0013,ML_MGCS13_009,Reinforcement Bars,Reinforcement Bars M.S ( TMT) round bars - Fe 600,Alias,DESCRIPTION,BAGS,18,0
MG_CS0013,ML_MGCS13_007,Reinforcement Bars,Reinforcement Bars M.S ( TMT) round bars - Fe 500,Alias,DESCRIPTION,BAGS,18,0
MG_CS0013,ML_MGCS13_008,Reinforcement Bars,Reinforcement Bars M.S ( TMT) round bars - Fe 500D,Alias,DESCRIPTION,BAGS,18,0
MG_CS0014,ML_MGCS14_001,Binding Wire,"Binding Wire -Plain, 16 Gauge",Alias,DESCRIPTION,BAGS,18,0
